number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
85,0.37400627336597336,2025-04-27 22:05:22.372258,2025-04-27 22:05:26.557763,0 days 00:00:04.185505,True,16,log2,5,5,294,COMPLETE
86,0.37056263527668787,2025-04-27 22:05:26.558632,2025-04-27 22:05:28.127584,0 days 00:00:01.568952,False,15,log2,5,7,204,COMPLETE
87,0.3744354549347778,2025-04-27 22:05:28.128416,2025-04-27 22:05:30.161649,0 days 00:00:02.033233,False,13,log2,5,3,287,COMPLETE
88,0.3727136358901351,2025-04-27 22:05:30.162635,2025-04-27 22:05:31.951045,0 days 00:00:01.788410,False,14,log2,3,4,268,COMPLETE
89,0.37271386737965445,2025-04-27 22:05:31.951658,2025-04-27 22:05:32.799658,0 days 00:00:00.848000,False,12,sqrt,5,2,102,COMPLETE
90,0.37099158535597304,2025-04-27 22:05:32.800593,2025-04-27 22:05:34.842417,0 days 00:00:02.041824,False,11,log2,5,3,294,COMPLETE
91,0.3746516661458152,2025-04-27 22:05:34.843326,2025-04-27 22:05:36.696851,0 days 00:00:01.853525,False,14,log2,5,2,295,COMPLETE
92,0.373575702860053,2025-04-27 22:05:36.697689,2025-04-27 22:05:38.609831,0 days 00:00:01.912142,False,15,log2,5,2,282,COMPLETE
93,0.3746505086982187,2025-04-27 22:05:38.610697,2025-04-27 22:05:40.719801,0 days 00:00:02.109104,False,13,log2,5,2,276,COMPLETE
94,0.37486695139877535,2025-04-27 22:05:40.720657,2025-04-27 22:05:42.737268,0 days 00:00:02.016611,False,14,log2,5,2,289,COMPLETE
95,0.3744363808928551,2025-04-27 22:05:42.738243,2025-04-27 22:05:44.862029,0 days 00:00:02.123786,False,14,log2,5,2,291,COMPLETE
96,0.3720689375788511,2025-04-27 22:05:44.863248,2025-04-27 22:05:46.723137,0 days 00:00:01.859889,False,14,log2,5,2,247,COMPLETE
97,0.3731444378855747,2025-04-27 22:05:46.723481,2025-04-27 22:05:50.970484,0 days 00:00:04.247003,True,15,log2,5,3,296,COMPLETE
98,0.27071171452712484,2025-04-27 22:05:50.971440,2025-04-27 22:05:52.973622,0 days 00:00:02.002182,False,13,,5,2,285,COMPLETE
99,0.37357547137053376,2025-04-27 22:05:52.974115,2025-04-27 22:05:54.923279,0 days 00:00:01.949164,False,14,log2,5,3,263,COMPLETE
