Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
RB,71,206,4.63,32.0,,108.0,7.08,4.12,8
OT,77,361,5.5,,24.0,,,,1
OT,78,315,5.39,,28.0,,,,1
OT,76,328,5.31,26.0,23.0,97.0,7.72,4.71,3
DT,76,289,5.09,27.5,22.0,102.0,7.73,4.61,4
RB,72,212,4.69,33.0,,120.0,6.89,4.15,7
C,75,298,5.12,34.0,25.0,110.0,7.46,4.43,2
DE,77,284,4.99,30.5,27.0,113.0,7.49,4.52,7
OG,75,295,5.39,26.0,18.0,97.0,7.84,4.78,5
ILB,73,246,4.97,27.5,24.0,110.0,7.37,4.43,8
WR,75,203,4.81,35.5,,117.0,7.01,4.24,8
WR,72,196,4.57,36.0,,117.0,7.16,4.11,8
OG,75,320,5.45,24.5,34.0,94.0,8.37,5.06,8
WR,73,201,4.52,37.5,,129.0,6.91,4.09,5
OLB,71,223,4.6,,21.0,,,,3
RB,73,231,4.57,36.0,23.0,117.0,,,4
S,69,211,4.56,,24.0,,,,5
ILB,74,250,4.77,33.0,18.0,113.0,6.93,4.17,1
FB,72,221,4.65,37.5,23.0,117.0,7.05,4.21,5
WR,75,216,4.6,34.5,,119.0,7.06,4.17,1
RB,68,182,4.5,36.0,18.0,121.0,,,5
QB,74,207,4.75,,,,,,8
S,73,183,4.56,37.5,,123.0,7.04,4.1,4
OT,76,317,5.34,25.5,27.0,98.0,7.82,4.74,4
WR,70,175,4.43,37.5,,123.0,6.96,4.04,2
TE,76,263,5.03,28.0,23.0,106.0,,,8
C,75,277,5.06,27.5,17.0,94.0,7.59,4.72,8
ILB,73,235,4.72,34.0,16.0,114.0,7.3,4.24,8
CB,71,193,4.6,,,,,,1
DE,76,253,,,,,,,8
S,73,208,4.63,35.0,17.0,115.0,6.81,4.21,7
QB,75,229,4.81,33.5,,111.0,7.12,4.16,1
WR,74,195,4.75,32.5,,114.0,,,8
OLB,77,231,4.68,,,,,,1
WR,74,205,4.66,39.5,,129.0,6.93,4.13,6
WR,74,169,4.45,,,,,,2
OLB,75,261,4.9,30.5,20.0,111.0,7.75,4.52,8
CB,71,191,4.43,,,,,,1
OLB,74,233,4.75,32.0,18.0,111.0,7.43,4.45,7
WR,74,221,4.48,,,,,,2
CB,70,197,4.57,37.0,16.0,126.0,6.66,4.0,3
RB,72,225,4.5,37.0,23.0,115.0,6.92,4.4,3
OT,78,333,5.59,26.0,22.0,95.0,8.15,5.13,4
QB,72,215,4.91,25.5,,100.0,7.34,4.21,7
OT,78,308,5.5,25.0,22.0,94.0,8.33,5.0,8
QB,75,222,5.37,26.5,,98.0,7.8,4.78,3
RB,71,216,4.48,32.5,,121.0,,,3
DE,76,283,5.13,30.0,18.0,101.0,7.91,4.68,6
OT,75,299,5.37,26.5,20.0,99.0,7.49,4.88,5
C,74,293,5.19,29.5,17.0,106.0,,,8
DT,76,312,5.09,29.5,25.0,94.0,7.72,4.72,2
OG,77,314,5.31,29.5,25.0,101.0,8.31,4.76,8
RB,73,232,4.68,37.0,19.0,124.0,7.21,4.31,8
CB,71,188,4.55,,,,,,2
OG,75,321,5.35,,,,,,8
OT,77,325,5.08,,,,,,1
CB,72,202,4.5,37.0,10.0,116.0,,,4
RB,67,199,4.6,32.0,12.0,118.0,6.63,4.3,8
OLB,75,241,4.75,32.5,,111.0,7.33,4.38,7
OG,74,308,5.34,25.0,24.0,92.0,,,7
WR,72,194,4.59,33.5,,119.0,,,4
CB,70,193,4.5,34.0,11.0,116.0,7.45,4.24,6
DT,74,316,5.13,28.5,24.0,102.0,7.78,4.6,7
FB,76,253,4.81,37.5,,114.0,6.72,4.3,4
CB,73,195,4.53,35.0,5.0,120.0,,,2
OLB,75,262,4.78,,,,,,8
OT,77,318,5.65,22.5,18.0,98.0,8.48,4.81,7
ILB,75,252,4.72,,,,,,4
WR,74,180,4.66,33.0,,119.0,7.18,4.1,8
DT,74,297,4.83,,,,,,1
OLB,72,237,4.6,36.0,24.0,117.0,7.08,4.09,3
ILB,74,246,4.84,34.5,20.0,115.0,7.21,4.27,4
ILB,72,247,4.87,30.0,24.0,112.0,7.08,4.26,3
S,73,198,4.57,35.0,13.0,115.0,7.18,4.29,8
ILB,72,245,5.18,29.5,,108.0,7.51,4.58,8
RB,70,207,4.5,,,,,,8
OT,77,320,5.37,27.5,24.0,100.0,7.87,4.83,2
FB,71,220,4.65,,25.0,,,,5
DE,76,275,4.88,,,,,,6
FB,72,249,5.0,32.5,19.0,109.0,8.38,4.85,4
WR,69,177,4.34,35.0,,124.0,,,1
RB,70,204,4.78,33.0,13.0,113.0,7.18,4.47,8
WR,71,184,4.55,33.5,,123.0,,,8
TE,75,250,4.78,38.0,24.0,115.0,6.84,4.14,5
RB,67,204,4.6,35.0,13.0,111.0,7.14,4.14,7
TE,75,255,4.75,,31.0,,,,5
OG,75,318,5.37,27.0,22.0,90.0,7.91,4.84,7
OLB,75,249,4.65,34.5,,115.0,,,6
WR,73,199,4.43,37.0,,118.0,7.15,,1
DE,74,270,4.56,38.5,,120.0,,4.42,6
OG,75,300,5.22,29.5,23.0,100.0,7.99,,7
OT,76,305,5.28,26.0,16.0,104.0,7.99,4.73,4
OLB,75,220,4.65,,,,,,2
S,73,194,4.6,37.5,15.0,123.0,6.95,4.29,2
DT,77,310,5.26,28.5,19.0,99.0,7.72,4.6,5
DT,78,296,5.09,29.0,25.0,99.0,7.82,4.72,8
OG,77,297,5.16,27.0,21.0,96.0,8.18,4.95,8
ILB,72,249,4.65,32.0,24.0,109.0,7.23,4.3,3
OLB,76,258,4.59,34.0,27.0,122.0,6.94,4.18,1
CB,71,196,4.53,36.5,14.0,121.0,7.09,4.16,7
OG,76,306,5.2,28.5,14.0,108.0,7.54,4.42,8
OT,80,326,5.22,27.5,29.0,101.0,7.68,4.68,2
P,70,218,,,,,,,8
DT,74,293,4.82,,,,,,3
WR,66,171,4.55,32.5,,106.0,6.61,3.84,5
DT,73,307,5.1,30.5,29.0,105.0,7.97,4.56,3
WR,71,194,4.58,,,,,,1
CB,69,180,4.42,35.5,17.0,122.0,6.76,3.98,2
TE,74,228,4.78,31.0,,110.0,7.42,4.22,5
TE,76,254,4.66,32.5,,121.0,6.97,4.18,5
