number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
54,0.3811060569232728,2025-04-28 08:00:35.353898,2025-04-28 08:03:57.826901,0 days 00:03:22.473003,32,1.3779699535018053,0.0003416738265850144,0.0047520000329088425,42,47,3,COMPLETE
55,0.3819660404875169,2025-04-28 08:03:57.827134,2025-04-28 08:09:18.430340,0 days 00:05:20.603206,32,1.4809900019500348,0.0008635893674968383,0.008083511843443936,47,54,4,COMPLETE
56,0.36905586999548595,2025-04-28 08:09:18.430577,2025-04-28 08:09:52.591362,0 days 00:00:34.160785,256,1.0394369597324944,0.008203989147358967,0.004055895144975879,8,9,3,COMPLETE
57,0.38024723080662526,2025-04-28 08:09:52.591594,2025-04-28 08:13:45.855336,0 days 00:03:53.263742,32,1.210046700910784,0.0017607107802436225,0.006389233769723336,44,62,3,COMPLETE
58,0.3817535331087885,2025-04-28 08:13:45.855570,2025-04-28 08:17:39.491298,0 days 00:03:53.635728,32,1.282202940353987,0.00043914338941443523,0.008737216654391292,49,64,3,COMPLETE
59,0.3473190041320878,2025-04-28 08:17:39.491532,2025-04-28 08:19:10.326517,0 days 00:01:30.834985,128,1.0952464434263576,0.0002203528223544446,0.00010264445325712073,39,42,4,COMPLETE
60,0.38153824785582835,2025-04-28 08:19:10.326745,2025-04-28 08:21:53.262849,0 days 00:02:42.936104,32,1.1573125696906104,0.00071464130549495,0.0031776632580224526,58,50,2,COMPLETE
61,0.38304269824183707,2025-04-28 08:21:53.263080,2025-04-28 08:25:40.192084,0 days 00:03:46.929004,32,1.3743230463991547,0.0014423537462855207,0.009221408303961858,44,45,3,COMPLETE
62,0.38218271467759296,2025-04-28 08:25:40.192316,2025-04-28 08:30:08.966714,0 days 00:04:28.774398,32,1.3302510951067426,0.005534827065690018,0.0052804390080110385,43,44,3,COMPLETE
63,0.38412120791231175,2025-04-28 08:30:08.966953,2025-04-28 08:34:17.316054,0 days 00:04:08.349101,32,1.3932825815130534,0.0009082176193672998,0.007064716440036426,54,40,3,COMPLETE
64,0.38003194555366504,2025-04-28 08:34:17.316284,2025-04-28 08:38:22.978821,0 days 00:04:05.662537,32,1.6653065693329465,0.0009491822987317247,0.0072523684346850244,54,38,3,COMPLETE
65,0.38089354954454435,2025-04-28 08:38:22.979056,2025-04-28 08:42:34.775555,0 days 00:04:11.796499,32,1.5299197807995801,0.0005636841664685863,0.006480103202696886,51,40,3,COMPLETE
66,0.36819727536835767,2025-04-28 08:42:34.775794,2025-04-28 08:46:39.043771,0 days 00:04:04.267977,32,1.4540474034383877,0.0006766458826672978,0.00043957125365955423,62,36,3,COMPLETE
67,0.37960137504774477,2025-04-28 08:46:39.043998,2025-04-28 08:51:06.791510,0 days 00:04:27.747512,32,1.4067245803068853,0.0012363510793721442,0.0036018272295370666,47,32,3,COMPLETE
68,0.3699167795178074,2025-04-28 08:51:06.791740,2025-04-28 08:51:43.288275,0 days 00:00:36.496535,256,1.9693936817482618,0.002195802693451679,0.001957995251878006,56,48,3,COMPLETE
69,0.37895366737270975,2025-04-28 08:51:43.288503,2025-04-28 08:52:54.527059,0 days 00:01:11.238556,64,1.2667729196194446,0.00406760277444722,0.009987896525195213,52,56,2,COMPLETE
70,0.37723184832806694,2025-04-28 08:52:54.527286,2025-04-28 08:56:28.446996,0 days 00:03:33.919710,32,1.1005779669548486,0.0010837460406804141,0.005126701656969291,49,43,4,COMPLETE
71,0.3815377848767897,2025-04-28 08:56:28.447228,2025-04-28 09:00:24.673993,0 days 00:03:56.226765,32,1.3871078284395018,0.0015458608791314738,0.008507194434076689,45,47,3,COMPLETE
72,0.38153824785582835,2025-04-28 09:00:24.674234,2025-04-28 09:04:26.810337,0 days 00:04:02.136103,32,1.3228946752575288,0.002537559770708737,0.008757737856343775,41,41,3,COMPLETE
73,0.37938470085766873,2025-04-28 09:04:26.810568,2025-04-28 09:07:33.473142,0 days 00:03:06.662574,32,1.4289771590688405,0.0003680760905103588,0.007226287193156772,38,53,3,COMPLETE
74,0.37852610623054045,2025-04-28 09:07:33.473374,2025-04-28 09:10:34.331714,0 days 00:03:00.858340,32,1.3639874902994038,0.009210530739311249,0.006475272591486723,35,45,3,COMPLETE
75,0.3811083718184659,2025-04-28 09:10:34.331949,2025-04-28 09:13:47.823623,0 days 00:03:13.491674,32,1.2262377508306357,0.0008593095550234788,0.0055889700607637,43,50,3,COMPLETE
76,0.38282833894695417,2025-04-28 09:13:47.823855,2025-04-28 09:17:59.146573,0 days 00:04:11.322718,32,1.1865950182691107,0.0005103922253382624,0.004509523083607939,46,39,3,COMPLETE
77,0.37766288181302593,2025-04-28 09:17:59.146808,2025-04-28 09:18:50.844928,0 days 00:00:51.698120,128,1.28507468403997,0.0006114768888377543,0.007771891599846633,50,52,3,COMPLETE
78,0.38390569116983225,2025-04-28 09:18:50.845162,2025-04-28 09:22:23.948165,0 days 00:03:33.103003,32,1.5057195656132025,0.00016444710553606542,0.00996740612871727,41,46,3,COMPLETE
79,0.3684093197680475,2025-04-28 09:22:23.948396,2025-04-28 09:26:14.200472,0 days 00:03:50.252076,32,1.4917501207718624,0.00010046438245268528,0.0008446420327429568,40,58,3,COMPLETE
