number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
43,0.5435746669769287,2025-04-27 22:24:43.706367,2025-04-27 22:25:12.705684,0 days 00:00:28.999317,64,0.25965825058099484,0.3155279896531933,0.000669847394266484,239,75,COMPLETE
44,0.5222734451293946,2025-04-27 22:25:12.705942,2025-04-27 22:25:37.772592,0 days 00:00:25.066650,64,0.21719799342718032,0.26903189414490164,0.00045046677924953,213,17,COMPLETE
45,0.539486575126648,2025-04-27 22:25:37.772860,2025-04-27 22:26:02.334841,0 days 00:00:24.561981,64,0.3322637811710505,0.43995867634601515,0.0012241424112177837,59,100,COMPLETE
46,0.5082826912403107,2025-04-27 22:26:02.335109,2025-04-27 22:26:21.972576,0 days 00:00:19.637467,128,0.30474762452415904,0.4689762069934546,0.0003279077072084088,161,60,COMPLETE
47,0.5433591485023499,2025-04-27 22:26:21.972808,2025-04-27 22:26:42.741856,0 days 00:00:20.769048,64,0.284758498855026,0.15051035754761902,0.0016607458815575595,255,47,COMPLETE
48,0.5409912467002869,2025-04-27 22:26:42.742091,2025-04-27 22:27:45.469616,0 days 00:01:02.727525,16,0.26240581724224715,0.3290488150768243,0.0002400968258692272,225,82,COMPLETE
49,0.5414215803146363,2025-04-27 22:27:45.469847,2025-04-27 22:28:14.217656,0 days 00:00:28.747809,32,0.24384975749966717,0.206233479195278,0.0009878355095357904,242,91,COMPLETE
50,0.5386240363121033,2025-04-27 22:28:14.217892,2025-04-27 22:28:33.287736,0 days 00:00:19.069844,64,0.34577781116650913,0.363979775362652,0.0025568664884914696,195,123,COMPLETE
51,0.5431438684463501,2025-04-27 22:28:33.287975,2025-04-27 22:29:03.541949,0 days 00:00:30.253974,64,0.30647499816225016,0.39502903357974833,0.0006820972438199341,251,99,COMPLETE
52,0.5448647618293763,2025-04-27 22:29:03.542185,2025-04-27 22:29:33.136066,0 days 00:00:29.593881,64,0.3217531464655572,0.3133520387830872,0.0007672778289977726,246,92,COMPLETE
53,0.5407785177230835,2025-04-27 22:29:33.136325,2025-04-27 22:30:01.071204,0 days 00:00:27.934879,64,0.31123208796925916,0.34498358056099143,0.0008817383962872548,232,109,COMPLETE
54,0.5397018432617188,2025-04-27 22:30:01.071476,2025-04-27 22:30:28.886636,0 days 00:00:27.815160,64,0.3458251730641073,0.3329158183505246,0.00041616133525855536,219,100,COMPLETE
55,0.5403474807739258,2025-04-27 22:30:28.886884,2025-04-27 22:30:54.688779,0 days 00:00:25.801895,64,0.2235090577271005,0.2993138449308921,0.0005463849113191468,126,82,COMPLETE
56,0.5463717579841614,2025-04-27 22:30:54.689013,2025-04-27 22:31:18.088412,0 days 00:00:23.399399,64,0.2882228105679838,0.27542274144050644,0.0010751476484036637,255,72,COMPLETE
57,0.5498137593269348,2025-04-27 22:31:18.088653,2025-04-27 22:31:39.794843,0 days 00:00:21.706190,64,0.1902331809877439,0.235982576902947,0.0013352234924860732,170,60,COMPLETE
58,0.5403467774391174,2025-04-27 22:31:39.795077,2025-04-27 22:31:54.436660,0 days 00:00:14.641583,128,0.1902848541807618,0.23497219043913015,0.0031105885858982237,178,52,COMPLETE
59,0.5416396498680115,2025-04-27 22:31:54.436894,2025-04-27 22:32:12.894401,0 days 00:00:18.457507,64,0.14695977957559364,0.2682589436137562,0.0020359928914543313,145,72,COMPLETE
60,0.5369022130966187,2025-04-27 22:32:12.894631,2025-04-27 22:32:44.318491,0 days 00:00:31.423860,16,0.1247891185177861,0.16396647027164718,0.0012687429043228855,150,62,COMPLETE
61,0.5407782673835755,2025-04-27 22:32:44.318744,2025-04-27 22:33:05.558911,0 days 00:00:21.240167,64,0.29038123453753784,0.2619624646289216,0.001465559994444096,240,68,COMPLETE
62,0.5452946305274964,2025-04-27 22:33:05.559142,2025-04-27 22:33:32.531113,0 days 00:00:26.971971,64,0.26921078980312374,0.28620746298213584,0.0010391004680680776,169,50,COMPLETE
63,0.5407766461372375,2025-04-27 22:33:32.531392,2025-04-27 22:33:52.724642,0 days 00:00:20.193250,64,0.23436346353896947,0.12298478783851047,0.0018259523433546815,206,58,COMPLETE
64,0.5420662760734558,2025-04-27 22:33:52.724947,2025-04-27 22:34:17.328838,0 days 00:00:24.603891,64,0.16062073566152535,0.2509482290050794,0.001146055205539001,232,43,COMPLETE
65,0.5491679072380066,2025-04-27 22:34:17.329125,2025-04-27 22:34:45.369836,0 days 00:00:28.040711,64,0.19776648954590964,0.307034989529889,0.0009293625402773628,247,71,COMPLETE
66,0.5397018551826477,2025-04-27 22:34:45.370071,2025-04-27 22:35:16.154101,0 days 00:00:30.784030,32,0.17857070936472405,0.19283255681530856,0.0009213832101482472,153,71,COMPLETE
