number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
46,0.38282880187034607,2025-04-27 23:12:37.658467,2025-04-27 23:13:03.621669,0 days 00:00:25.963202,32,0.2718980796620882,0.1662384172456668,0.0010423712549188584,33,94,COMPLETE
47,0.38261444568634034,2025-04-27 23:13:03.621960,2025-04-27 23:13:24.890377,0 days 00:00:21.268417,32,0.35980768041530087,0.18158720757936633,0.0008028874098418024,85,72,COMPLETE
48,0.3858404874801636,2025-04-27 23:13:24.890810,2025-04-27 23:13:42.873401,0 days 00:00:17.982591,32,0.4000230883533904,0.12012931413337563,0.00201985022822491,55,52,COMPLETE
49,0.38132249712944033,2025-04-27 23:13:42.873673,2025-04-27 23:14:01.961604,0 days 00:00:19.087931,128,0.29304321324755556,0.20686809045508703,0.0003101759994445389,69,80,COMPLETE
50,0.38368878364562986,2025-04-27 23:14:01.961881,2025-04-27 23:14:16.085491,0 days 00:00:14.123610,32,0.3298610028669701,0.14820678267097498,0.0037437503179645697,85,67,COMPLETE
51,0.38670417070388796,2025-04-27 23:14:16.085761,2025-04-27 23:14:48.988118,0 days 00:00:32.902357,32,0.35316594515555233,0.47560646822420977,0.0004608062074793208,106,30,COMPLETE
52,0.3823977649211884,2025-04-27 23:14:48.988383,2025-04-27 23:15:12.621679,0 days 00:00:23.633296,64,0.26745013088258607,0.4398902074533918,0.00034441051861540883,97,21,COMPLETE
53,0.38003078699111936,2025-04-27 23:15:12.621940,2025-04-27 23:15:46.839276,0 days 00:00:34.217336,32,0.13146448737796085,0.38221155570800364,0.00019565867158319927,47,41,COMPLETE
54,0.38304431438446046,2025-04-27 23:15:46.839528,2025-04-27 23:16:00.334945,0 days 00:00:13.495417,128,0.3471367543060248,0.10119014719050101,0.0006821881530898238,256,31,COMPLETE
55,0.3854122281074524,2025-04-27 23:16:00.335179,2025-04-27 23:16:22.888135,0 days 00:00:22.552956,64,0.37902508523718936,0.4893301200470176,0.0012093830283551896,56,36,COMPLETE
56,0.3841191291809082,2025-04-27 23:16:22.888374,2025-04-27 23:16:47.896321,0 days 00:00:25.007947,16,0.32319329728166557,0.14446776013882998,0.0009434961189781618,149,53,COMPLETE
57,0.38455039262771606,2025-04-27 23:16:47.896554,2025-04-27 23:17:17.661166,0 days 00:00:29.764612,32,0.22208538899526575,0.45135733221924257,0.000474957107120755,79,61,COMPLETE
58,0.38541245460510254,2025-04-27 23:17:17.661405,2025-04-27 23:18:08.497402,0 days 00:00:50.835997,16,0.252382165128214,0.29009434502462783,0.0003759654933824905,62,19,COMPLETE
59,0.3830454766750336,2025-04-27 23:18:08.497634,2025-04-27 23:18:28.140054,0 days 00:00:19.642420,32,0.1934987013436376,0.4293297816296594,0.0007758562995386387,134,48,COMPLETE
60,0.3871335804462433,2025-04-27 23:18:28.140318,2025-04-27 23:18:59.638302,0 days 00:00:31.497984,16,0.4216104372319467,0.39798832210642304,0.0014513319793535596,71,38,COMPLETE
61,0.3856263518333435,2025-04-27 23:18:59.638538,2025-04-27 23:19:31.085232,0 days 00:00:31.446694,16,0.40259607814340315,0.39980163415327435,0.0016012598388961733,72,38,COMPLETE
62,0.3843362629413605,2025-04-27 23:19:31.085467,2025-04-27 23:20:17.947669,0 days 00:00:46.862202,16,0.42399618786989546,0.36400724830060105,0.0005959408123392791,90,26,COMPLETE
63,0.38498119115829466,2025-04-27 23:20:17.947904,2025-04-27 23:21:01.263040,0 days 00:00:43.315136,16,0.44799483448902866,0.3837195966602212,0.0009950364356834352,43,45,COMPLETE
64,0.38584094047546386,2025-04-27 23:21:01.263277,2025-04-27 23:21:25.104741,0 days 00:00:23.841464,16,0.3774899962115748,0.18398111824658211,0.0015564112158875532,62,34,COMPLETE
65,0.3836906373500824,2025-04-27 23:21:25.104974,2025-04-27 23:21:39.887948,0 days 00:00:14.782974,64,0.4260024768091276,0.3284408110896637,0.0020057163165575543,51,91,COMPLETE
66,0.3858418643474579,2025-04-27 23:21:39.888184,2025-04-27 23:22:11.187101,0 days 00:00:31.298917,16,0.3380977071731399,0.45485110391658756,0.0012257864659745495,83,57,COMPLETE
67,0.3839047610759735,2025-04-27 23:22:11.187340,2025-04-27 23:22:24.461049,0 days 00:00:13.273709,128,0.3071745341962118,0.4138891134770724,0.001877179241571885,114,40,COMPLETE
68,0.3864870309829712,2025-04-27 23:22:24.461284,2025-04-27 23:23:06.544478,0 days 00:00:42.083194,16,0.36921698144670045,0.3976610457455139,0.0006959945088428862,95,30,COMPLETE
69,0.3791689515113831,2025-04-27 23:23:06.544712,2025-04-27 23:23:30.062988,0 days 00:00:23.518276,64,0.28857846190376596,0.4290248656784779,0.0002975521189259376,37,46,COMPLETE
70,0.3854115307331085,2025-04-27 23:23:30.063226,2025-04-27 23:24:00.253982,0 days 00:00:30.190756,16,0.3902364094762465,0.312206110410801,0.0029190158803602414,58,69,COMPLETE
71,0.38304362297058103,2025-04-27 23:24:00.254268,2025-04-27 23:24:19.424707,0 days 00:00:19.170439,32,0.3493466903778104,0.1288498188359976,0.001334786361017612,51,75,COMPLETE
72,0.38562658429145813,2025-04-27 23:24:19.424989,2025-04-27 23:24:38.415762,0 days 00:00:18.990773,32,0.36586279519932036,0.15755353918513043,0.0014574512255504403,47,82,COMPLETE
73,0.38326053619384765,2025-04-27 23:24:38.416038,2025-04-27 23:25:01.863586,0 days 00:00:23.447548,32,0.3325207513559299,0.11821101224758541,0.0010573793880580165,48,64,COMPLETE
74,0.38196719288825987,2025-04-27 23:25:01.863885,2025-04-27 23:25:28.307479,0 days 00:00:26.443594,32,0.4122979609232317,0.1359471856354858,0.0013105081942132984,39,59,COMPLETE
75,0.38325891494750974,2025-04-27 23:25:28.307752,2025-04-27 23:25:44.741130,0 days 00:00:16.433378,32,0.31095686422137436,0.1128271176868094,0.0022700975403330574,71,51,COMPLETE
76,0.38476728796958926,2025-04-27 23:25:44.741414,2025-04-27 23:26:16.817388,0 days 00:00:32.075974,32,0.43552846146593094,0.3499157717585481,0.0008872286929460779,32,55,COMPLETE
77,0.3804611265659332,2025-04-27 23:26:16.817657,2025-04-27 23:26:43.958147,0 days 00:00:27.140490,16,0.46870829600801256,0.1376581665419813,0.00961555882951241,64,69,COMPLETE
