number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,params_weights,state
83,0.34237068416727434,2025-04-27 21:59:16.269915,2025-04-27 21:59:16.312477,0 days 00:00:00.042562,euclidean,18,,distance,COMPLETE
84,0.3445230737178374,2025-04-27 21:59:16.312625,2025-04-27 21:59:16.355762,0 days 00:00:00.043137,euclidean,19,,distance,COMPLETE
85,0.34366262717455465,2025-04-27 21:59:16.355907,2025-04-27 21:59:16.815932,0 days 00:00:00.460025,minkowski,20,3.0,distance,COMPLETE
86,0.34194127110895056,2025-04-27 21:59:16.816109,2025-04-27 21:59:16.913498,0 days 00:00:00.097389,euclidean,18,,uniform,COMPLETE
87,0.34602960750952005,2025-04-27 21:59:16.913658,2025-04-27 21:59:16.957027,0 days 00:00:00.043369,euclidean,20,,distance,COMPLETE
88,0.3445230737178374,2025-04-27 21:59:16.957188,2025-04-27 21:59:16.999724,0 days 00:00:00.042536,euclidean,19,,distance,COMPLETE
89,0.3378524717293425,2025-04-27 21:59:16.999871,2025-04-27 21:59:17.040926,0 days 00:00:00.041055,euclidean,17,,distance,COMPLETE
90,0.3415107006030302,2025-04-27 21:59:17.041079,2025-04-27 21:59:17.096766,0 days 00:00:00.055687,manhattan,20,,distance,COMPLETE
91,0.3445230737178374,2025-04-27 21:59:17.096936,2025-04-27 21:59:17.152415,0 days 00:00:00.055479,euclidean,19,,distance,COMPLETE
92,0.34602960750952005,2025-04-27 21:59:17.152596,2025-04-27 21:59:17.207782,0 days 00:00:00.055186,euclidean,20,,distance,COMPLETE
93,0.2222891998564765,2025-04-27 21:59:17.207929,2025-04-27 21:59:17.237136,0 days 00:00:00.029207,euclidean,2,,distance,COMPLETE
94,0.34602960750952005,2025-04-27 21:59:17.237297,2025-04-27 21:59:17.281190,0 days 00:00:00.043893,euclidean,20,,distance,COMPLETE
95,0.3445230737178374,2025-04-27 21:59:17.281349,2025-04-27 21:59:17.324519,0 days 00:00:00.043170,euclidean,19,,distance,COMPLETE
96,0.3445230737178374,2025-04-27 21:59:17.324671,2025-04-27 21:59:17.367627,0 days 00:00:00.042956,euclidean,19,,distance,COMPLETE
97,0.34602960750952005,2025-04-27 21:59:17.367774,2025-04-27 21:59:17.411291,0 days 00:00:00.043517,euclidean,20,,distance,COMPLETE
98,0.33290530921212547,2025-04-27 21:59:17.411453,2025-04-27 21:59:17.452788,0 days 00:00:00.041335,euclidean,16,,distance,COMPLETE
99,0.3389263516094309,2025-04-27 21:59:17.452945,2025-04-27 21:59:17.517368,0 days 00:00:00.064423,minkowski,18,1.0,uniform,COMPLETE
