number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
18,0.3709122203098107,2025-04-28 10:38:56.960681,2025-04-28 10:38:56.982019,0 days 00:00:00.021338,0.15470380534784767,0.8416530474406155,0.987069277067915,0.8406013855345832,COMPLETE
19,0.37263339070567986,2025-04-28 10:38:56.982139,2025-04-28 10:38:57.003788,0 days 00:00:00.021649,0.7053359378575791,0.6105010216388153,0.32903046121715923,0.6170142848722391,COMPLETE
20,0.37349397590361444,2025-04-28 10:38:57.003910,2025-04-28 10:38:57.025328,0 days 00:00:00.021418,0.41895370700859047,0.32210414821750677,0.2173542698700024,0.4487791887649273,COMPLETE
21,0.3743545611015491,2025-04-28 10:38:57.025450,2025-04-28 10:38:57.047048,0 days 00:00:00.021598,0.23479264133770625,0.7650158036639619,0.5606831714037778,0.9489637445931344,COMPLETE
22,0.3717728055077453,2025-04-28 10:38:57.047169,2025-04-28 10:38:57.068885,0 days 00:00:00.021716,0.30052840880707493,0.6709738280277873,0.699738352172729,0.9989898633505186,COMPLETE
23,0.3743545611015491,2025-04-28 10:38:57.069007,2025-04-28 10:38:57.090680,0 days 00:00:00.021673,0.10880857354762483,0.7470145980980143,0.5651761671205396,0.8190269890941677,COMPLETE
24,0.3743545611015491,2025-04-28 10:38:57.090801,2025-04-28 10:38:57.112385,0 days 00:00:00.021584,0.4315006293856348,0.5702735766871325,0.43541334216473115,0.8770575122905279,COMPLETE
25,0.3717728055077453,2025-04-28 10:38:57.112504,2025-04-28 10:38:57.133925,0 days 00:00:00.021421,0.2849920507265667,0.7732506127259106,0.5227345763930464,0.5975672925080164,COMPLETE
26,0.37521514629948366,2025-04-28 10:38:57.134046,2025-04-28 10:38:57.155589,0 days 00:00:00.021543,0.08118708348780798,0.9074012518330713,0.6425265809553495,0.7789774264226585,COMPLETE
27,0.37521514629948366,2025-04-28 10:38:57.155715,2025-04-28 10:38:57.177419,0 days 00:00:00.021704,0.08862246117500572,0.9503438773745021,0.7890257963114181,0.7756023790586308,COMPLETE
28,0.37521514629948366,2025-04-28 10:38:57.177542,2025-04-28 10:38:57.199345,0 days 00:00:00.021803,0.07289451717869393,0.9115751849690834,0.7225795831435949,0.6790512007677242,COMPLETE
29,0.37005163511187605,2025-04-28 10:38:57.199466,2025-04-28 10:38:57.221151,0 days 00:00:00.021685,0.6276268659223235,0.00644774178591323,0.7828882454778464,0.7698249795548016,COMPLETE
30,0.36919104991394147,2025-04-28 10:38:57.221272,2025-04-28 10:38:57.242755,0 days 00:00:00.021483,0.0912024633132611,0.13772387648966977,0.4730880919223842,0.2691572296136458,COMPLETE
