number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
32,0.5378657487091222,2025-04-28 23:03:38.026913,2025-04-28 23:03:38.050307,0 days 00:00:00.023394,0.15126136950620667,0.995461118865837,0.5088631290377066,0.6464838078946187,COMPLETE
33,0.5335628227194492,2025-04-28 23:03:38.050534,2025-04-28 23:03:38.074018,0 days 00:00:00.023484,0.31070056649813904,0.8339811906671308,0.6496322938483112,0.453882999578961,COMPLETE
34,0.5378657487091222,2025-04-28 23:03:38.074244,2025-04-28 23:03:38.097616,0 days 00:00:00.023372,0.05630546754420536,0.915414695642865,0.5953048248733566,0.6967735781075197,COMPLETE
35,0.5327022375215146,2025-04-28 23:03:38.097843,2025-04-28 23:03:38.120992,0 days 00:00:00.023149,0.3759651900119012,0.8286970326374647,0.49334458265222775,0.5528936119902379,COMPLETE
36,0.5301204819277109,2025-04-28 23:03:38.121219,2025-04-28 23:03:38.144912,0 days 00:00:00.023693,0.7143009988548377,0.9277774338212528,0.40185243511382085,0.8008878701363906,COMPLETE
37,0.5137693631669535,2025-04-28 23:03:38.145140,2025-04-28 23:03:38.168530,0 days 00:00:00.023390,0.9439797690520542,0.38269984433509396,0.7628282719765086,0.49633078215290705,COMPLETE
38,0.5292598967297762,2025-04-28 23:03:38.168759,2025-04-28 23:03:38.192316,0 days 00:00:00.023557,0.21643187363305672,0.7833357879515244,0.0010800580197122267,0.6193910556409123,COMPLETE
39,0.5301204819277109,2025-04-28 23:03:38.192547,2025-04-28 23:03:38.216075,0 days 00:00:00.023528,0.3107350580103141,0.5211365069880302,0.5662745036353058,0.42047479928377324,COMPLETE
40,0.5197934595524957,2025-04-28 23:03:38.216300,2025-04-28 23:03:38.239731,0 days 00:00:00.023431,0.459848270320462,0.948378917786169,0.9986078989873659,0.301132448784967,COMPLETE
41,0.5378657487091222,2025-04-28 23:03:38.239958,2025-04-28 23:03:38.263410,0 days 00:00:00.023452,0.016257048521277368,0.9021687257275353,0.6945307763503842,0.47916555975942166,COMPLETE
42,0.5378657487091222,2025-04-28 23:03:38.263635,2025-04-28 23:03:38.287020,0 days 00:00:00.023385,0.04374611965469222,0.8577080553138301,0.7169696047569549,0.5323694061835504,COMPLETE
43,0.5378657487091222,2025-04-28 23:03:38.287243,2025-04-28 23:03:38.310715,0 days 00:00:00.023472,0.10319250812223067,0.9993083015919942,0.8192714110780946,0.6849285399967628,COMPLETE
44,0.5378657487091222,2025-04-28 23:03:38.310941,2025-04-28 23:03:38.334585,0 days 00:00:00.023644,0.15512484378410038,0.864054063544719,0.6668630925430306,0.38196696906564076,COMPLETE
45,0.5378657487091222,2025-04-28 23:03:38.334809,2025-04-28 23:03:38.358235,0 days 00:00:00.023426,0.053180731309407,0.9519306692740254,0.8950914512332295,0.5878145366242082,COMPLETE
46,0.5335628227194492,2025-04-28 23:03:38.358467,2025-04-28 23:03:38.381943,0 days 00:00:00.023476,0.11349376429258477,0.7388132578379092,0.7198569655641369,0.7351555392865845,COMPLETE
47,0.5370051635111877,2025-04-28 23:03:38.382179,2025-04-28 23:03:38.405527,0 days 00:00:00.023348,0.20283933833760392,0.8010557288878746,0.5304925184227124,0.31512581511441434,COMPLETE
48,0.5292598967297762,2025-04-28 23:03:38.405751,2025-04-28 23:03:38.429178,0 days 00:00:00.023427,0.010737855036900161,0.17014445219145002,0.4643912310215582,0.4492663607749532,COMPLETE
49,0.5335628227194492,2025-04-28 23:03:38.429410,2025-04-28 23:03:38.452830,0 days 00:00:00.023420,0.1245683457734941,0.661125765814883,0.6246868579017392,0.5579325065812658,COMPLETE
50,0.5180722891566265,2025-04-28 23:03:38.453057,2025-04-28 23:03:38.476553,0 days 00:00:00.023496,0.8509084092934817,0.8910113232852821,0.35667168842530356,0.21936663803021558,COMPLETE
51,0.5378657487091222,2025-04-28 23:03:38.476773,2025-04-28 23:03:38.499981,0 days 00:00:00.023208,0.004728873979602699,0.9506483614262409,0.5749391729608535,0.5916336999344454,COMPLETE
52,0.5378657487091222,2025-04-28 23:03:38.500207,2025-04-28 23:03:38.523628,0 days 00:00:00.023421,0.056607012862328,0.9564708295300661,0.680838103289339,0.6753456658436504,COMPLETE
53,0.5378657487091222,2025-04-28 23:03:38.523923,2025-04-28 23:03:38.547708,0 days 00:00:00.023785,0.07340339592521318,0.890434926399559,0.7453585810888104,0.615517242922098,COMPLETE
54,0.5378657487091222,2025-04-28 23:03:38.547931,2025-04-28 23:03:38.571653,0 days 00:00:00.023722,0.03009339456093244,0.9455282844856048,0.6131532909967984,0.5269964151896566,COMPLETE
55,0.5370051635111877,2025-04-28 23:03:38.571880,2025-04-28 23:03:38.595449,0 days 00:00:00.023569,0.131060379567171,0.8472109188980024,0.6440613857095171,0.7803988482844428,COMPLETE
56,0.5335628227194492,2025-04-28 23:03:38.595673,2025-04-28 23:03:38.619400,0 days 00:00:00.023727,0.2644548353910226,0.9677012595833345,0.7997652347468855,0.7123838138622086,COMPLETE
57,0.5378657487091222,2025-04-28 23:03:38.619621,2025-04-28 23:03:38.643698,0 days 00:00:00.024077,0.004024115427755997,0.9082650082217427,0.6766075631986562,0.654562968872502,COMPLETE
58,0.5172117039586919,2025-04-28 23:03:38.643922,2025-04-28 23:03:38.667823,0 days 00:00:00.023901,0.07881061999029755,0.0198228623530452,0.5608193840017304,0.5756541988818777,COMPLETE
59,0.5309810671256454,2025-04-28 23:03:38.668042,2025-04-28 23:03:38.691756,0 days 00:00:00.023714,0.19056925894477544,0.4502013967161376,0.50474109354715,0.8459233054873116,COMPLETE
60,0.5223752151462995,2025-04-28 23:03:38.691987,2025-04-28 23:03:38.715548,0 days 00:00:00.023561,0.5898926070080261,0.7572645507428828,0.7216601877528771,0.4839806537936905,COMPLETE
61,0.5378657487091222,2025-04-28 23:03:38.715775,2025-04-28 23:03:38.739832,0 days 00:00:00.024057,0.08690002530515845,0.9844660034660475,0.608223338121564,0.6168480427658745,COMPLETE
62,0.5378657487091222,2025-04-28 23:03:38.740052,2025-04-28 23:03:38.764291,0 days 00:00:00.024239,0.14073167726194438,0.9294889757734112,0.5917144123201387,0.5875309240356541,COMPLETE
63,0.5378657487091222,2025-04-28 23:03:38.764516,2025-04-28 23:03:38.788501,0 days 00:00:00.023985,0.09781546596877143,0.9675216897201601,0.6598586809074904,0.5268466662736875,COMPLETE
64,0.5378657487091222,2025-04-28 23:03:38.788721,2025-04-28 23:03:38.812883,0 days 00:00:00.024162,0.0466945774835048,0.9967805575633142,0.5291866154098673,0.6667148603169918,COMPLETE
65,0.5344234079173839,2025-04-28 23:03:38.813125,2025-04-28 23:03:38.837225,0 days 00:00:00.024100,0.23763788350246828,0.8783127785459859,0.74458758372377,0.43993099171490596,COMPLETE
66,0.5344234079173839,2025-04-28 23:03:38.837449,2025-04-28 23:03:38.861339,0 days 00:00:00.023890,0.1669730733162541,0.9226358749537233,0.8493415064056589,0.6202087892792489,COMPLETE
67,0.5335628227194492,2025-04-28 23:03:38.861572,2025-04-28 23:03:38.885564,0 days 00:00:00.023992,0.34693272981735,0.8129067353787127,0.6275453663580964,0.7054190329216118,COMPLETE
68,0.5327022375215146,2025-04-28 23:03:38.885784,2025-04-28 23:03:38.910251,0 days 00:00:00.024467,0.08297389034187717,0.971764436837339,0.4310307700115758,0.5048139498277258,COMPLETE
69,0.5292598967297762,2025-04-28 23:03:38.910479,2025-04-28 23:03:38.934928,0 days 00:00:00.024449,0.03267275576411214,0.5577580656146273,0.7842646557633483,0.39808453918412956,COMPLETE
70,0.5301204819277109,2025-04-28 23:03:38.935156,2025-04-28 23:03:38.959943,0 days 00:00:00.024787,0.1233319492678179,0.3035288495624282,0.6758897545536503,0.7412330186680913,COMPLETE
71,0.5378657487091222,2025-04-28 23:03:38.960169,2025-04-28 23:03:38.984187,0 days 00:00:00.024018,0.03124167445716196,0.8764059281173661,0.7671244062143239,0.47790441635432745,COMPLETE
72,0.5378657487091222,2025-04-28 23:03:38.984417,2025-04-28 23:03:39.008422,0 days 00:00:00.024005,0.002023574460104493,0.927702849926787,0.700225920540989,0.34333198958447203,COMPLETE
73,0.5378657487091222,2025-04-28 23:03:39.008659,2025-04-28 23:03:39.033077,0 days 00:00:00.024418,0.06110079768942179,0.8420176063968702,0.636750831788235,0.5456771346181644,COMPLETE
74,0.5378657487091222,2025-04-28 23:03:39.033300,2025-04-28 23:03:39.057349,0 days 00:00:00.024049,0.11068754744387801,0.9966304536579615,0.5781561897418487,0.6392839289323623,COMPLETE
75,0.5378657487091222,2025-04-28 23:03:39.057569,2025-04-28 23:03:39.081557,0 days 00:00:00.023988,0.034600100502141615,0.899073384895652,0.7386499561491353,0.6037848128286071,COMPLETE
76,0.5378657487091222,2025-04-28 23:03:39.081789,2025-04-28 23:03:39.105539,0 days 00:00:00.023750,0.18162730439692187,0.9405128867345407,0.6976947553615459,0.5649575130990052,COMPLETE
