number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
42,0.5384101299813651,2025-04-28 00:51:18.929760,2025-04-28 00:52:26.143542,0 days 00:01:07.213782,64,1.9367725895611534,0.008568666970488432,0.008104854661269695,12,57,2,COMPLETE
43,0.5396995266039329,2025-04-28 00:52:26.143765,2025-04-28 00:53:49.269226,0 days 00:01:23.125461,64,1.865596336642472,0.006723040619874362,0.007748243746610201,8,50,2,COMPLETE
44,0.5293716216998275,2025-04-28 00:53:49.269458,2025-04-28 00:55:20.174184,0 days 00:01:30.904726,64,1.8646596922052092,0.005689039164334114,0.004246299043335107,9,13,2,COMPLETE
45,0.5405615935738509,2025-04-28 00:55:20.174417,2025-04-28 01:01:47.067039,0 days 00:06:26.892622,32,1.746804352870004,0.0032986602267327213,0.005948805170052462,15,50,5,COMPLETE
46,0.3843318633748857,2025-04-28 01:01:47.067270,2025-04-28 01:08:51.162932,0 days 00:07:04.095662,32,1.7636747073577024,0.0035894352797223327,0.00011282402125880597,8,46,5,COMPLETE
47,0.5300186349063046,2025-04-28 01:08:51.163159,2025-04-28 01:14:52.516004,0 days 00:06:01.352845,32,1.5381657587853528,0.008680166047897763,0.0023115102187838145,19,50,5,COMPLETE
48,0.5414227345856916,2025-04-28 01:14:52.516228,2025-04-28 01:21:35.273934,0 days 00:06:42.757706,32,1.7398307207073958,0.0025380854613880513,0.005997777963902,15,41,5,COMPLETE
49,0.5386261097028832,2025-04-28 01:21:35.274158,2025-04-28 01:28:16.819648,0 days 00:06:41.545490,32,1.7345712548286483,0.002563544425601823,0.005553073644736988,23,37,5,COMPLETE
50,0.5248524833038184,2025-04-28 01:28:16.819876,2025-04-28 01:35:25.239092,0 days 00:07:08.419216,32,1.6016641456345977,0.0018685083695186807,0.0014140989724293603,18,42,5,COMPLETE
51,0.5418544625392085,2025-04-28 01:35:25.239318,2025-04-28 01:41:50.991804,0 days 00:06:25.752486,32,1.814995445920867,0.0035337432131006485,0.007971671104795856,14,35,5,COMPLETE
52,0.5332497656168617,2025-04-28 01:41:50.992032,2025-04-28 01:47:14.280728,0 days 00:05:23.288696,32,1.7930438020943196,0.0038111500846722724,0.0061849057871308216,15,33,5,COMPLETE
53,0.5429285739088163,2025-04-28 01:47:14.280957,2025-04-28 01:52:29.806661,0 days 00:05:15.525704,32,1.6670190573290167,0.0011452495973880213,0.004620002630627175,64,28,4,COMPLETE
54,0.5414236605437689,2025-04-28 01:52:29.806890,2025-04-28 01:57:38.712486,0 days 00:05:08.905596,32,1.5606626244058643,0.000753681791088492,0.0045867709246927004,55,29,4,COMPLETE
55,0.5491697628389873,2025-04-28 01:57:38.712717,2025-04-28 02:02:32.626305,0 days 00:04:53.913588,32,1.577422817894773,0.0007014880577066667,0.004512844788098196,62,26,4,COMPLETE
56,0.5422836441080131,2025-04-28 02:02:32.626526,2025-04-28 02:07:08.525914,0 days 00:04:35.899388,32,1.5795403898356088,0.0005347583806557519,0.0045945817395016495,64,27,4,COMPLETE
57,0.5463703600819474,2025-04-28 02:07:08.526142,2025-04-28 02:12:19.924243,0 days 00:05:11.398101,32,1.5037518835927735,0.0005366412893949933,0.004538903146211811,64,27,4,COMPLETE
58,0.5414238920332882,2025-04-28 02:12:19.924476,2025-04-28 02:17:43.531316,0 days 00:05:23.606840,32,1.3428732525408038,0.0005338667293369294,0.0032412904069885227,64,26,4,COMPLETE
59,0.5446501614639397,2025-04-28 02:17:43.531544,2025-04-28 02:23:28.671487,0 days 00:05:45.139943,32,1.4974631843139672,0.00035549692616478133,0.002547272625439762,64,26,4,COMPLETE
60,0.545296480201859,2025-04-28 02:23:28.671714,2025-04-28 02:29:26.907445,0 days 00:05:58.235731,32,1.5066167558956276,0.0003546921833770917,0.0026083534373474437,64,26,4,COMPLETE
61,0.5459425674502587,2025-04-28 02:29:26.907672,2025-04-28 02:35:13.815685,0 days 00:05:46.908013,32,1.498196244697111,0.00033887488426476717,0.0025201776579996515,64,26,4,COMPLETE
62,0.5341078972649513,2025-04-28 02:35:13.815902,2025-04-28 02:40:38.154943,0 days 00:05:24.339041,32,1.5027037415557554,0.0003147275921894798,0.001787851183395741,59,24,4,COMPLETE
63,0.5351813141660011,2025-04-28 02:40:38.155164,2025-04-28 02:46:34.513113,0 days 00:05:56.357949,32,1.3997108339546191,0.0003639252570913529,0.0011930897163011066,62,32,4,COMPLETE
64,0.5394874822042433,2025-04-28 02:46:34.513347,2025-04-28 02:51:24.114618,0 days 00:04:49.601271,32,1.5009610718795998,0.00020221481492017131,0.0025254948013916628,57,21,4,COMPLETE
65,0.5401303285993727,2025-04-28 02:51:24.114843,2025-04-28 02:56:47.038408,0 days 00:05:22.923565,32,1.6541979824274544,0.0002122775410275128,0.0020186865442018455,62,30,4,COMPLETE
66,0.5397018414991261,2025-04-28 02:56:47.038635,2025-04-28 03:02:37.837720,0 days 00:05:50.799085,32,1.464780564435276,0.0005854591669436263,0.003774045389279026,57,16,4,COMPLETE
